Price,Bedroom_Number,Bath_Number,Area,Location,Classification,Furnishing,Post_on
125000,1,2,909,"Sanibel Tower, Park Island, Dubai Marina, Dubai, UAE",Apartment,Unfurnished, 31st March 2024
155000,2,2,1146,"Sobha Hartland, Dubai, UAE",Apartment,Unfurnished, 31st March 2024
73000,1,1,571,"Azizi Riviera 19, Azizi Riviera, Meydan One, Meydan City, Dubai, UAE",Apartment,Unfurnished, 31st March 2024
300000,4,6,1632,"Park Villas, JVC District 10, Jumeirah Village Circle (JVC), Dubai, UAE",Villa,Furnished, 31st March 2024
52000,1,1,422,"Jewelz by Danube, Arjan, Dubai, UAE",Apartment,Furnished, 31st March 2024
140000,3,3,1472,"Binghatti Creek, Al Jaddaf, Dubai, UAE",Apartment,Unfurnished, 31st March 2024
55000,1,1,392,"Glamz Residence Tower 2, Glamz by Danube, Al Furjan, Dubai, UAE",Apartment,Furnished, 31st March 2024
50000,1,1,422,"Jewelz by Danube, Arjan, Dubai, UAE",Apartment,Furnished, 31st March 2024
48000,1,2,1000,"Blue 1 Building, Al Nahda 2, Al Nahda (Dubai), Dubai, UAE",Apartment,Unfurnished, 31st March 2024
48000,1,1,558,"Spanish Andalusian, Canal Residence West, Dubai Sports City, Dubai, UAE",Apartment,Unfurnished, 31st March 2024
70000,1,2,639,"Azizi Riviera 25, Azizi Riviera, Meydan One, Meydan City, Dubai, UAE",Apartment,Unfurnished, 31st March 2024
110000,2,3,1030,"Gardenia Livings, Arjan, Dubai, UAE",Apartment,Furnished, 31st March 2024
65000,2,3,1400,"Al Nahda 2, Al Nahda (Dubai), Dubai, UAE",Apartment,Unfurnished, 31st March 2024
120000,1,2,767,"Residences 12, The Residences at District One, District One, Mohammed Bin Rashid City, Dubai, UAE",Apartment,Furnished, 31st March 2024
130000,1,2,775,"Residences 16, The Residences at District One, District One, Mohammed Bin Rashid City, Dubai, UAE",Apartment,Furnished, 31st March 2024
120000,1,2,765,"Residences 6, The Residences at District One, District One, Mohammed Bin Rashid City, Dubai, UAE",Apartment,Furnished, 31st March 2024
46999,1,1,483,"Building 86, Mediterranean, Discovery Gardens, Dubai, UAE",Apartment,Unfurnished, 31st March 2024
123000,2,3,815,"Aykon City Tower C, Aykon City, Business Bay, Dubai, UAE",Apartment,Unfurnished, 31st March 2024
95000,2,2,849,"Azizi Riviera 20, Azizi Riviera, Meydan One, Meydan City, Dubai, UAE",Apartment,Unfurnished, 31st March 2024
48000,1,1,450,"Laya Mansion, JVC District 15, Jumeirah Village Circle (JVC), Dubai, UAE",Apartment,Furnished, 31st March 2024
75000,1,2,749,"Sydney Tower, JVC District 18, Jumeirah Village Circle (JVC), Dubai, UAE",Apartment,Furnished, 31st March 2024
175000,2,3,2378,"Travo Tower B, Travo, The Views, Dubai, UAE",Apartment,Unfurnished, 31st March 2024
80000,1,2,667,"Sydney Tower, JVC District 18, Jumeirah Village Circle (JVC), Dubai, UAE",Apartment,Furnished, 31st March 2024
80000,1,2,749,"Sydney Tower, JVC District 18, Jumeirah Village Circle (JVC), Dubai, UAE",Apartment,Furnished, 31st March 2024
